,loss,mae,mape,val_loss,val_mae,val_mape,learning_rate
0,2021.0445556640625,27.168764114379883,105886704.0,2196.167236328125,29.23735237121582,165613152.0,0.0010000000474974513
1,722.9791259765625,18.303497314453125,76195208.0,1681.1993408203125,27.681289672851562,227195664.0,0.0010000000474974513
2,663.8656005859375,17.405109405517578,60758328.0,1088.76171875,21.566194534301758,92871720.0,0.0010000000474974513
3,621.2999877929688,16.759241104125977,54095624.0,684.9363403320312,17.825927734375,108598304.0,0.0010000000474974513
4,592.0296020507812,16.309295654296875,50563496.0,1077.7554931640625,24.1884822845459,196676016.0,0.0010000000474974513
5,575.0810546875,16.02173614501953,47676736.0,1408.2086181640625,28.692399978637695,265232128.0,0.0010000000474974513
6,555.5067138671875,15.71944808959961,46490604.0,448.40093994140625,13.693830490112305,102816552.0,0.0010000000474974513
7,539.8733520507812,15.486869812011719,45773140.0,474.2956848144531,14.383975982666016,231053920.0,0.0010000000474974513
8,533.724609375,15.359543800354004,45488284.0,413.7704772949219,13.685084342956543,123628336.0,0.0010000000474974513
9,521.6126098632812,15.186012268066406,44958740.0,500.4674377441406,15.032398223876953,239371424.0,0.0010000000474974513
10,511.14404296875,14.989371299743652,45466336.0,650.8447875976562,17.216716766357422,279900640.0,0.0010000000474974513
11,494.9486999511719,14.779001235961914,43700608.0,531.0616455078125,15.790629386901855,371265952.0,0.0010000000474974513
12,480.7478332519531,14.54997730255127,44622316.0,884.0430908203125,19.714832305908203,443819104.0,0.0010000000474974513
13,475.01763916015625,14.459403991699219,44682680.0,672.4356689453125,17.845386505126953,646874432.0,0.0010000000474974513
14,458.8254089355469,14.241503715515137,44554664.0,1024.0247802734375,21.426551818847656,439243712.0,0.0010000000474974513
15,445.59521484375,14.055163383483887,43740160.0,549.8538208007812,15.716354370117188,360429920.0,0.0010000000474974513
16,435.8166809082031,13.898303985595703,42865216.0,512.6351928710938,15.00396728515625,263485312.0,0.0010000000474974513
17,424.7043151855469,13.738375663757324,42659708.0,506.2840881347656,15.205267906188965,294271168.0,0.0010000000474974513
18,417.1200256347656,13.621946334838867,41548360.0,847.8510131835938,19.722362518310547,338519296.0,0.0010000000474974513
19,396.96746826171875,13.280020713806152,39669660.0,568.0845336914062,15.910441398620605,327062944.0,0.0005000000237487257
20,393.58770751953125,13.204500198364258,39517980.0,633.3580932617188,16.760217666625977,346359360.0,0.0005000000237487257
21,388.4772033691406,13.13089370727539,39033704.0,718.6680908203125,17.754148483276367,374558080.0,0.0005000000237487257
22,386.0191345214844,13.094476699829102,38924304.0,739.2813720703125,18.165075302124023,368101600.0,0.0005000000237487257
23,384.4043884277344,13.064204216003418,38733064.0,690.3067626953125,17.721542358398438,334496288.0,0.0005000000237487257
24,380.9778137207031,13.016141891479492,38314380.0,665.33837890625,17.381118774414062,335217632.0,0.0005000000237487257
25,378.9144592285156,12.96772575378418,37440048.0,595.5010986328125,16.151309967041016,312034272.0,0.0005000000237487257
26,376.73199462890625,12.95793628692627,37806552.0,555.7297973632812,15.400175094604492,261286640.0,0.0005000000237487257
27,374.17913818359375,12.898505210876465,37393916.0,574.837646484375,15.703624725341797,210358944.0,0.0005000000237487257
28,372.8825988769531,12.884176254272461,36947564.0,664.417236328125,17.076528549194336,230463376.0,0.0005000000237487257
