loss,mape,val_loss,val_mape
9457.7431640625,566128000.0,7031.9853515625,8221083136.0
7317.9638671875,850409088.0,6964.6318359375,8116183040.0
7318.033203125,851284928.0,7052.42822265625,8251878912.0
7320.1533203125,851470464.0,7032.39794921875,8221705216.0
7316.38330078125,851035840.0,6988.66943359375,8154256384.0
7315.53662109375,851883264.0,7001.67919921875,8174557696.0
7316.16748046875,850997056.0,7035.5908203125,8226541056.0
7316.2705078125,850923328.0,7022.9296875,8207291392.0
7318.68798828125,852365952.0,7009.19482421875,8186193920.0
7318.7041015625,849298816.0,7064.4365234375,8269751808.0
7318.13623046875,851016896.0,7025.75390625,8211597824.0
7316.00146484375,851226816.0,7022.73388671875,8206987264.0
7317.50244140625,850196608.0,7055.1328125,8255918080.0
7316.23681640625,850175296.0,7046.54931640625,8243065344.0
7317.1064453125,852203072.0,7006.44873046875,8181950976.0
7318.39599609375,850344192.0,7044.70068359375,8240289280.0
7314.0712890625,852112896.0,7075.58642578125,8286224896.0
7317.05029296875,852818304.0,7014.55517578125,8194450432.0
7316.5400390625,851142080.0,7064.10986328125,8269271040.0
7315.36572265625,852385408.0,7031.26123046875,8219981824.0
